Rank,Name,Age,Weight,Log,Deadlift,Sandbag,Yoke,Points
206th,Nikki Ellerington,45,73kg,69.4kg,196.0kg,9 reps,240.0kg,436
207th,Albie Mushaney,51,132kg,114.8kg,240.0kg,4 reps,312.5kg,435
208th,Darci Ball,27,64kg,66.2kg,158.8kg,10 reps,262.9kg,432
209th,Taylor Grescovich,37,132kg,73.8kg,193.7kg,7 reps,302.8kg,424
210th,Jayla Endsley,31,68kg,66.2kg,180.5kg,11 reps,231.3kg,423
211th,Joanne Mulligan,48,64kg,67.0kg,174.5kg,9 reps,261.0kg,422
212th,Ryan Scannell,28,105kg,105.7kg,259.2kg,N/A,365.6kg,421.5
213th,Jenifer Martinez,45,73kg,73.9kg,165.5kg,9 reps,236.8kg,413.5
214th,Jeremy Apisa,37,78kg,109.5kg,235.2kg,1 reps,337.3kg,412.5
215th,Taylor Doxey,34,93kg,73.3kg,191.9kg,7 reps,289.4kg,409
216th,Erik Schallenberg,28,79kg,103.9kg,N/A,7 reps,310.0kg,408
217th,Samuel Cowgill,31,92kg,115.0kg,252.0kg,N/A,322.0kg,401.5
217th,Victoria Bunchek,35,127kg,86.2kg,188.2kg,6 reps,315.2kg,401.5
219th,Maillon Machado,3,105kg,123.6kg,N/A,4 reps,364.0kg,394.5
220th,Caitlin Cardone,33,64kg,69.4kg,185.9kg,8 reps,249.8kg,394
221st,Cory Mueller,34,78kg,93.7kg,227.0kg,6 reps,246.3kg,393.5
222nd,Ellie Ramirez,26,77kg,79.1kg,181.8kg,7 reps,267.5kg,390.5
